number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
489,guillermo,2014-10-14T09:10:00.000+08,10/14/14,yes,male,no,26,spouse,living_together,Yes,Core,Elementary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,owned,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,without,11.23276452,124.8427565,Alang Alang,PH083702000,Hubang,PH083702024,110.8000031,5,without,#N/A,without
490,prudencio,2014-10-14T13:05:00.000+08,10/14/14,yes,male,no,21,head,living_together,#N/A,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,2,2,No Change,no,No,No,Less Assets,No,#N/A,#N/A,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,share,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,yes_oral,2013,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,shared_toilet,out,flush_toilet,yes,6 to 20,others,spring,More than 20,yes,11.15443313,124.8584827,Alang Alang,PH083702000,Astorga,PH083702002,111,5,yes,shared_toilet,yes
491,guillermo,2014-10-14T09:29:00.000+08,10/14/14,yes,female,yes,32,head,separated,Yes,Core,High School,female,No,0,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,4,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,6 to 20,well,handpumped,More than 20,without,11.23286712,124.8425292,Alang Alang,PH083702000,Hubang,PH083702024,105.1999969,5,without,#N/A,without
492,alburo,2014-10-14T09:01:00.000+08,10/14/14,yes,male,no,49,spouse,married,#N/A,SRA,High School,male,Yes,3,"5,001 - 10,000","5,001 - 10,000",Equals,Yes,No,1,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,6,to_standard,under_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,8,"5,001 - 10,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,high,own_toilet,in,flush_toilet,yes,6 to 20,well,handpumped,More than 20,yes,11.15458635,124.8609514,Alang Alang,PH083702000,Astorga,PH083702002,106.9000015,5,yes,own_toilet,yes
493,guillermo,2014-10-14T09:46:00.000+08,10/14/14,yes,male,no,45,head,living_together,#N/A,Core,Elementary,male,No,0,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Owned by family member,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,without,11.17083028,124.8527846,Alang Alang,PH083702000,Penalosa,PH083702033,105.8000031,5,without,#N/A,without
494,alburo,2014-10-14T09:47:00.000+08,10/14/14,yes,male,no,57,spouse,married,#N/A,SRA,Elementary,male,Yes,3,"2,500 - 5,000","<2,500",Less than,Yes,No,0.9,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,no,0,to_standard,to_standard,to_standard,to_standard,no_toilet,SRA,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,6 to 20,well,handpumped,More than 20,yes,11.22578452,124.8464979,Alang Alang,PH083702000,Hubang,PH083702024,113.8000031,5,yes,own_toilet,yes
495,guillermo,2014-10-14T10:08:00.000+08,10/14/14,yes,male,no,30,spouse,living_together,#N/A,Core,Primary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,driver,1,1,Change,no,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,owned,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,without,11.15281882,124.8600645,Alang Alang,PH083702000,Astorga,PH083702002,105,5,without,#N/A,without
496,alburo,2014-10-14T10:31:00.000+08,10/14/14,yes,male,no,83,spouse,married,#N/A,Core,Elementary,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,2,2,No Change,no,No,No,Less Assets,No,#N/A,#N/A,#N/A,No,Tenant/Relative of Tenant,#N/A,share,no,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,no,#N/A,2,"<2,500",No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,high,shared_toilet,out,flush_toilet,no,6 to 20,well,handpumped,More than 20,yes,11.1694211,124.8858999,Alang Alang,PH083702000,Aslum,PH083702001,100,5,yes,shared_toilet,yes
497,brum,2014-10-14T09:11:00.000+08,10/14/14,yes,male,no,81,head,married,#N/A,Neither,Graduate,male,Yes,#N/A," >15,000","5,001 - 10,000",Less than,No,No,1.25,private_employ,2,2,Change,yes,No,No,Less Assets,Yes,repaired_house,concrete,#N/A,No,rented,#N/A,owned,yes_oral,0,to_standard,to_standard,to_standard,to_standard,to_standard,Neither,0,No,#N/A,2012 or before,7,"5,001 - 10,000",No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,3,low,own_toilet,in,flush_toilet,yes,6 to 20,handpumped,others,More than 20,yes,11.23406275,124.840725,Alang Alang,PH083702000,Hubang,PH083702024,116.3000031,5,yes,own_toilet,yes
498,guillermo,2014-10-14T10:25:00.000+08,10/14/14,yes,male,no,33,head,single,#N/A,Core,Primary,male,No,0,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,share,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,yes_oral,#N/A,1,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,well,More than 20,without,11.1542375,124.8608697,Alang Alang,PH083702000,Astorga,PH083702002,107.5999985,5,without,#N/A,without
499,alburo,2014-10-14T10:48:00.000+08,10/14/14,yes,male,no,46,spouse,living_together,#N/A,Core,High School,male,Yes,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,driver,1,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Tenant/Relative of Tenant,#N/A,share,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,no,2012 or before,4,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,shared_toilet,out,flush_toilet,no,6 to 20,well,handpumped,More than 20,yes,11.23209442,124.8423279,Alang Alang,PH083702000,Hubang,PH083702024,105.1999969,5,yes,shared_toilet,yes
500,brum,2014-10-14T11:34:00.000+08,10/14/14,yes,female,yes,42,head,married,#N/A,SRA,High School,female,No,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,private_employ,1,1,Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,2,to_standard,to_standard,under_standard,none,no_toilet,SRA,0,No,#N/A,2014,6,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,without,11.23502634,124.8483836,Alang Alang,PH083702000,Hubang,PH083702024,99.90000153,5,without,#N/A,without
501,guillermo,2014-10-14T10:54:00.000+08,10/14/14,yes,female,yes,86,head,widowed,Yes,Core,Primary,female,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,remittance,0,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,2,"<2,500",No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,4,low,#N/A,#N/A,#N/A,#N/A,More than 20,well,spring,More than 20,without,11.15666311,124.8434756,Alang Alang,PH083702000,Penalosa,PH083702033,109.5,5,without,#N/A,without
502,balberia,2014-10-14T08:52:00.000+08,10/14/14,yes,male,no,39,spouse,married,#N/A,SRA,Graduate,male,Yes,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,0.5,farming,2,2,No Change,yes,No,Yes,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,others,#N/A,owned,no,8,to_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,8,"2,500 - 5,000",No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,4,high,own_toilet,in,flush_toilet,yes,6 to 20,well,handpumped,More than 20,yes,11.16917663,124.8844612,Alang Alang,PH083702000,Aslum,PH083702001,104.5,5,yes,own_toilet,yes
503,alburo,2014-10-14T11:08:00.000+08,10/14/14,yes,male,no,24,head,married,#N/A,SRA,Elementary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,1,1,Change,yes,No,No,More Assets,Yes,repaired_house,wood,#N/A,No,others,#N/A,owned,no,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,shared_toilet,out,flush_toilet,yes,More than 20,well,well,More than 20,yes,11.23302709,124.8416947,Alang Alang,PH083702000,Hubang,PH083702024,107.4000015,5,yes,shared_toilet,yes
504,guillermo,2014-10-14T12:48:00.000+08,10/14/14,yes,male,no,46,head,unknown,Yes,Core,Primary,male,No,0,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,0 to 5,others,spring,6 to 20,without,11.15343923,124.8601094,Alang Alang,PH083702000,Astorga,PH083702002,112.3000031,5,without,#N/A,without
505,alburo,2014-10-14T13:07:00.000+08,10/14/14,yes,female,yes,32,head,living_together,#N/A,SRA,High School,female,No,1,"2,500 - 5,000","<2,500",Less than,No,No,#N/A,others,1,1,Change,yes,No,Yes,Less Assets,Yes,new_house,wood,#N/A,No,Owned by family member,#N/A,owned,no,4,to_standard,under_standard,to_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,dontknow,shared_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.22841844,124.8463681,Alang Alang,PH083702000,Hubang,PH083702024,111.4000015,5,yes,shared_toilet,yes
506,balberia,2014-10-14T10:06:00.000+08,10/14/14,yes,male,no,48,head,married,Yes,SRA,High School,male,Yes,3,"2,500 - 5,000","<2,500",Less than,Yes,Yes,0.25,driver,2,2,Change,yes,No,No,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,others,#N/A,owned,yes_oral,6,to_standard,under_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,8,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,2,high,own_toilet,in,flush_toilet,yes,6 to 20,well,handpumped,6 to 20,yes,11.17112616,124.8529542,Alang Alang,PH083702000,Penalosa,PH083702033,109.9000015,5,yes,own_toilet,yes
507,brum,2014-11-14T13:22:00.000+08,10/14/14,yes,male,no,53,head,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,Yes,0.6,agri_labor,2,2,No Change,yes,No,No,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,6,"<2,500",No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,3,low,own_toilet,in,flush_toilet,yes,6 to 20,handpumped,handpumped,0 to 5,yes,11.22130813,124.8463233,Alang Alang,PH083702000,Hubang,PH083702024,110.0999985,5,yes,own_toilet,yes
508,alburo,2014-10-14T14:58:00.000+08,10/14/14,yes,male,no,50,head,married,#N/A,SRA,Elementary,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,0.3,agri_labor,2,2,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,3,"<2,500",Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2,low,own_toilet,in,flush_toilet,yes,More than 20,handpumped,handpumped,More than 20,yes,11.20311675,124.8080978,Alang Alang,PH083702000,Santiago,PH083702043,105.0999985,5,yes,own_toilet,yes
509,balberia,2014-10-14T10:32:00.000+08,10/14/14,yes,female,yes,68,head,widowed,Yes,SRA,High School,female,Yes,3,"<2,500","<2,500",Equals,Yes,No,#N/A,remittance,1,2,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,others,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,3,high,own_toilet,out,flush_toilet,yes,More than 20,well,spring,More than 20,yes,11.23360711,124.8413487,Alang Alang,PH083702000,Hubang,PH083702024,106.1999969,5,yes,own_toilet,yes
510,balberia,2014-10-14T13:06:00.000+08,10/14/14,yes,male,no,24,spouse,living_together,#N/A,Core,Elementary,male,Yes,1,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,agri_labor,1,1,Change,no,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,others,#N/A,share,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,shared_toilet,in,flush_toilet,yes,0 to 5,well,well,More than 20,yes,11.17031407,124.8880055,Alang Alang,PH083702000,Aslum,PH083702001,112.0999985,5,yes,shared_toilet,yes
511,besario,2014-10-14T09:45:00.000+08,10/14/14,yes,male,no,39,head,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,0.5,farming,2,2,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.23053465,124.8492747,Alang Alang,PH083702000,Hubang,PH083702024,111.4000015,5,without,#N/A,without
512,balberia,2014-10-14T14:35:00.000+08,10/14/14,yes,male,no,50,head,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,1.4,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,4,to_standard,under_standard,to_standard,to_standard,under_standard,SRA,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,own_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.23072625,124.8437927,Alang Alang,PH083702000,Hubang,PH083702024,103.1999969,5,yes,own_toilet,yes
513,besario,2014-10-14T10:07:00.000+08,10/14/14,yes,male,no,48,spouse,married,Yes,SRA,High School,male,No,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,agri_labor,2,2,No Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,6,to_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,6,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,6 to 20,others,spring,More than 20,without,11.16341468,124.8668527,Alang Alang,PH083702000,Astorga,PH083702002,105.3000031,5,without,#N/A,without
514,besario,2014-10-14T10:30:00.000+08,10/14/14,yes,male,no,51,spouse,married,#N/A,SRA,High School,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,0.5,agri_labor,2,2,Change,no,No,No,Less Assets,Yes,repaired_house,concrete,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,0,to_standard,to_standard,to_standard,to_standard,no_toilet,SRA,0,No,#N/A,2012 or before,8,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3,low,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.23601255,124.8468297,Alang Alang,PH083702000,Hubang,PH083702024,106.9000015,5,without,#N/A,without
515,besario,2014-10-14T10:58:00.000+08,10/14/14,yes,male,no,30,head,married,Yes,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,farming,2,2,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Tenant/Relative of Tenant,#N/A,share,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,yes_oral,2013,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,More than 20,spring,handpumped,More than 20,without,11.16373513,124.8668849,Alang Alang,PH083702000,Astorga,PH083702002,106.0999985,5,without,#N/A,without
516,besario,2014-10-14T12:45:00.000+08,10/14/14,yes,male,no,41,spouse,living_together,#N/A,SRA,Elementary,male,No,2,"<2,500","<2,500",Equals,Yes,Yes,#N/A,agri_labor,2,2,No Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,7,under_standard,under_standard,under_standard,lightly_damaged,no_toilet,SRA,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,#N/A,#N/A,#N/A,#N/A,6 to 20,well,spring,More than 20,without,11.23139362,124.8432775,Alang Alang,PH083702000,Hubang,PH083702024,105.6999969,5,without,#N/A,without
517,besario,2014-10-14T13:05:00.000+08,10/14/14,yes,male,no,44,spouse,living_together,#N/A,SRA,Graduate,male,Yes,2,"<2,500","<2,500",Equals,Yes,Yes,2,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,6,to_standard,under_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,9,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,2,high,own_toilet,in,flush_toilet,yes,More than 20,others,spring,More than 20,without,11.2317931,124.8417296,Alang Alang,PH083702000,Hubang,PH083702024,109.5,5,yes,own_toilet,yes
518,besario,2014-10-14T14:34:00.000+08,10/14/14,yes,male,no,35,head,married,#N/A,SRA,Graduate,male,Yes,2,"2,500 - 5,000","5,001 - 10,000",Greater,Yes,No,#N/A,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,8,to_standard,under_standard,under_standard,under_standard,under_standard,SRA,0.15,No,#N/A,2012 or before,6,"5,001 - 10,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,low,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,More than 20,without,11.16219597,124.8657622,Alang Alang,PH083702000,Astorga,PH083702002,109.4000015,5,yes,own_toilet,yes
519,brum,2014-10-14T14:54:00.000+08,10/14/14,yes,male,no,37,spouse,married,#N/A,SRA,Elementary,male,No,1,"<2,500","<2,500",Equals,No,No,0.75,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,9,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,More than 20,without,11.17079093,124.8527079,Alang Alang,PH083702000,Penalosa,PH083702033,117.0999985,5,without,#N/A,without
520,soledad,2014-10-14T08:48:00.000+08,10/14/14,yes,male,no,24,spouse,living_together,#N/A,Core,None,male,No,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,2,2,No Change,yes,No,No,More Assets,Yes,new_house,light,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,Core,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,6 to 20,well,handpumped,More than 20,yes,11.1618562,124.8660621,Alang Alang,PH083702000,Astorga,PH083702002,106.0999985,5,without,#N/A,without
521,pono,2014-10-14T10:05:00.000+08,10/14/14,yes,male,no,35,head,living_together,#N/A,Core,Elementary,male,No,2,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,2,2,No Change,yes,No,No,Less Assets,Yes,destroyed_no_house,makeshift,#N/A,No,owned,yes,owned,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0.25,No,#N/A,#N/A,5,"<2,500",Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,4,high,#N/A,#N/A,#N/A,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.16748269,124.8835372,Alang Alang,PH083702000,Aslum,PH083702001,106.6999969,5,without,#N/A,without
522,soledad,2014-10-14T09:47:00.000+08,10/14/14,yes,male,no,48,head,widowed,#N/A,Core,Primary,male,No,0,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,Yes,No,Less Assets,Yes,new_house,makeshift,#N/A,No,rented,#N/A,owned,yes_written,6,under_standard,significantly_damaged,under_standard,under_standard,no_toilet,Core,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,More than 20,well,handpumped,More than 20,without,11.22133189,124.8464178,Alang Alang,PH083702000,Hubang,PH083702024,105.1999969,5,without,#N/A,without
523,pono,2014-10-14T01:24:00.000+08,10/14/14,yes,male,no,31,head,living_together,#N/A,Core,Elementary,male,No,0,"<2,500","<2,500",Equals,Yes,No,1.3,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.15954855,124.8667619,Alang Alang,PH083702000,Astorga,PH083702002,100.4000015,5,without,#N/A,without
524,soledad,2014-10-14T10:12:00.000+08,10/14/14,yes,female,yes,65,head,widowed,Yes,Core,Primary,female,No,0,"<2,500","<2,500",Equals,No,Yes,0.5,Support from Family,0,1,Change,no,Yes,No,Less Assets,No,#N/A,#N/A,#N/A,No,owned,yes,owned,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,1,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,6 to 20,well,handpumped,More than 20,without,11.2341646,124.840117,Alang Alang,PH083702000,Hubang,PH083702024,104.3000031,5,without,#N/A,without
525,pono,2014-10-14T14:17:00.000+08,10/14/14,yes,male,no,34,spouse,married,Yes,Core,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,driver,1,1,Change,yes,No,No,More Assets,Yes,repaired_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,8,under_standard,under_standard,under_standard,under_standard,no_toilet,Core,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,without,11.16763525,124.8842737,Alang Alang,PH083702000,Aslum,PH083702001,125.0999985,5,without,#N/A,without
526,soledad,2014-10-14T10:31:00.000+08,10/14/14,yes,male,no,26,head,living_together,Yes,Core,Primary,male,No,0,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,Yes,No,More Assets,Yes,new_house,light,#N/A,No,rented,#N/A,owned,yes_oral,2,under_standard,significantly_damaged,significantly_damaged,none,no_toilet,Core,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,More than 20,well,handpumped,More than 20,without,11.24057636,124.8514769,Alang Alang,PH083702000,Hubang,PH083702024,105.3000031,5,without,#N/A,without
