number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
22,alburo,2014-10-10T10:44:00.000+08,10/10/14,yes,male,no,25,child,single,#N/A,SRA,Elementary,male,No,3,"<2,500","<2,500",Equals,Yes,No,1.5,farming,1,1,No Change,no,Yes,Yes,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,owned,yes,owned,#N/A,4,to_standard,under_standard,to_standard,under_standard,no_toilet,SRA,0.0024,No,#N/A,2012 or before,3,"<2,500",No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,6 to 20,yes,11.19786491,124.8104392,Alang Alang,PH083702000,Santiago,PH083702043,110.3000031,5,without,#N/A,without
23,cuevas,2014-10-10T10:47:00.000+08,10/10/14,yes,male,no,27,head,living_together,#N/A,SRA,Graduate,male,No,1,"<2,500","10,001 - 15,000",Greater,No,No,#N/A,trade,2,2,Change,yes,No,Yes,More Assets,Yes,new_house,concrete_wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,4,to_standard,to_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2014,4,"10,001 - 15,000",No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,2,high,own_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,6 to 20,without,11.15396496,124.8577514,Alang Alang,PH083702000,Astorga,PH083702002,108.9000015,5,yes,own_toilet,yes
24,quimbo,2014-10-10T10:55:00.000+08,10/10/14,yes,male,no,66,head,married,#N/A,Core,Elementary,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Less Assets,Yes,new_house,light,#N/A,No,public,#N/A,owned,yes_written,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,low,own_toilet,out,pit_toilet,#N/A,0 to 5,handpumped,handpumped,0 to 5,yes,11.22686207,124.8473268,Alang Alang,PH083702000,Hubang,PH083702024,116.9000015,5,yes,own_toilet,yes
25,magabiling,2014-10-10T10:55:00.000+08,10/10/14,yes,male,no,44,spouse,married,#N/A,SRA,Elementary,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,0.25,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,rented,#N/A,owned,yes_written,7,under_standard,under_standard,lightly_damaged,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,3,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.16884392,124.8847152,Alang Alang,PH083702000,Aslum,PH083702001,117.3000031,5,without,#N/A,without
26,armada,2014-10-10T10:57:00.000+08,10/10/14,yes,male,no,60,spouse,married,Yes,SRA,High School,male,Yes,2,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,farming,1,1,No Change,yes,No,No,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,6,lightly_damaged,lightly_damaged,lightly_damaged,lightly_damaged,under_standard,SRA,0,No,#N/A,2012 or before,6,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,own_toilet,out,pit_toilet,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.23333422,124.8423569,Alang Alang,PH083702000,Hubang,PH083702024,116.5,5,yes,own_toilet,yes
27,besario,2014-10-10T10:59:00.000+08,10/10/14,yes,male,no,59,head,living_together,#N/A,SRA,Elementary,male,Yes,2,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,0.25,farming,1,1,No Change,no,No,No,Less Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,SRA,0.15,No,#N/A,#N/A,4,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,6 to 20,without,11.2266499,124.850838,Alang Alang,PH083702000,Hubang,PH083702024,107.5,5,yes,own_toilet,yes
28,abude,2014-10-10T11:03:00.000+08,10/10/14,yes,female,yes,56,head,widowed,#N/A,SRA,Graduate,female,Yes,2,"<2,500","<2,500",Equals,Yes,Yes,#N/A,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,no,6 to 20,handpumped,spring,More than 20,without,11.19757785,124.810265,Alang Alang,PH083702000,Santiago,PH083702043,108.9000015,5,yes,own_toilet,yes
29,soledad,2014-10-10T11:04:00.000+08,10/10/14,yes,male,no,27,head,living_together,#N/A,SRA,Primary,male,Yes,1,"<2,500","<2,500",Equals,No,No,0.4285,agri_labor,2,2,Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,none,under_standard,SRA,99,Yes,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,yes,More than 20,handpumped,handpumped,More than 20,without,11.20103798,124.8087167,Alang Alang,PH083702000,Santiago,PH083702043,109.5,5,yes,own_toilet,yes
30,olbiron,2014-10-10T11:05:00.000+08,10/10/14,yes,male,no,53,head,married,#N/A,SRA,Graduate,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,0.7,agri_labor,1,1,Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0.706,No,#N/A,2012 or before,8,"<2,500",No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,3,high,#N/A,#N/A,#N/A,#N/A,0 to 5,spring,spring,0 to 5,without,11.15835348,124.8622347,Alang Alang,PH083702000,Astorga,PH083702002,108,5,without,#N/A,without
31,orion,2014-10-10T11:05:00.000+08,10/10/14,yes,female,yes,71,head,widowed,#N/A,SRA,Elementary,female,Yes,1,"<2,500","<2,500",Equals,No,No,#N/A,trade,1,1,Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,rented,#N/A,owned,yes_oral,1,to_standard,to_standard,to_standard,significantly_damaged,lightly_damaged,SRA,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,3,dontknow,own_toilet,in,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.22234051,124.8463836,Alang Alang,PH083702000,Hubang,PH083702024,111.0999985,5,yes,own_toilet,yes
